#Wave		#Intensity
3288.244141	12911.419922
3287.500977	12863.476563
3286.757813	12855.932617
3286.014648	12857.895508
3285.270508	12873.490234
3284.527344	12906.540039
3283.783203	12868.938477
3283.039063	12955.001953
3282.294922	12899.395508
3281.550781	12966.355469
3280.806641	12899.842773
3280.062500	12954.152344
3279.317383	12912.186523
3278.573242	12885.367188
3277.828125	12909.241211
3277.083008	12911.917969
3276.337891	12869.131836
3275.592773	12876.921875
3274.846680	12910.529297
3274.101563	12882.958008
3273.355469	12918.045898
3272.609375	12870.985352
3271.863281	12906.197266
3271.117188	12906.885742
3270.371094	13017.705078
3269.625000	12925.915039
3268.877930	12955.763672
3268.131836	12956.935547
3267.384766	12912.393555
3266.637695	12953.538086
3265.890625	12891.095703
3265.143555	12955.012695
3264.396484	12906.320313
3263.648438	12964.935547
3262.901367	12956.097656
3262.153320	12970.381836
3261.405273	12976.038086
3260.657227	12926.991211
3259.909180	12901.655273
3259.160156	12963.874023
3258.412109	12970.639648
3257.663086	12968.250000
3256.915039	12967.259766
3256.166016	12956.866211
3255.416992	12997.220703
3254.667969	12963.386719
3253.917969	12982.892578
3253.168945	12950.297852
3252.418945	12980.699219
3251.669922	12984.727539
3250.919922	13029.839844
3250.169922	12960.306641
3249.419922	13019.193359
3248.668945	12985.997070
3247.918945	13027.916016
3247.167969	12994.271484
3246.417969	12982.491211
3245.666992	12956.883789
3244.916016	12986.994141
3244.165039	13002.636719
3243.414063	12965.959961
3242.662109	13001.116211
3241.911133	12979.104492
3241.159180	13009.640625
3240.407227	12963.303711
3239.655273	12998.428711
3238.903320	12949.078125
3238.151367	13017.631836
3237.398438	12999.422852
3236.646484	12989.860352
3235.893555	12934.830078
3235.141602	12962.305664
3234.388672	12964.757813
3233.635742	12987.945313
3232.881836	12997.710938
3232.128906	12964.428711
3231.375000	12998.911133
3230.622070	12999.438477
3229.868164	13022.711914
3229.114258	13016.581055
3228.360352	12989.248047
3227.606445	12920.309570
